CATEGORY,START,STOP,DISTANCE_KM,PURPOSE,start_date,start_time,end_date,end_time,year,time_of_day,duration_minutes,Month
Business,Fort Pierce,Fort Pierce,8.21,Meal/Entertain,2016-01-01,1900-01-01 21:11:00,2016-01-01,1900-01-01 21:17:00,2016,Night,6.0,Jan
Business,Fort Pierce,Fort Pierce,8.05,Meal/Entertain,2016-01-02,1900-01-01 01:25:00,2016-01-02,1900-01-01 01:37:00,2016,Night,12.0,Jan
Business,Fort Pierce,Fort Pierce,7.72,Errand/Supplies,2016-01-02,1900-01-01 20:25:00,2016-01-02,1900-01-01 20:38:00,2016,Evening,13.0,Jan
Business,Fort Pierce,Fort Pierce,7.56,Meeting,2016-01-05,1900-01-01 17:31:00,2016-01-05,1900-01-01 17:45:00,2016,Evening,14.0,Jan
Business,Fort Pierce,West Palm Beach,102.51,Customer Visit,2016-01-06,1900-01-01 14:42:00,2016-01-06,1900-01-01 15:49:00,2016,Afternoon,67.0,Jan
Business,West Palm Beach,West Palm Beach,6.92,Meal/Entertain,2016-01-06,1900-01-01 17:15:00,2016-01-06,1900-01-01 17:19:00,2016,Evening,4.0,Jan
Business,West Palm Beach,Palm Beach,11.43,Meeting,2016-01-06,1900-01-01 17:30:00,2016-01-06,1900-01-01 17:35:00,2016,Evening,5.0,Jan
Business,Cary,Cary,1.29,Meeting,2016-01-07,1900-01-01 13:27:00,2016-01-07,1900-01-01 13:33:00,2016,Afternoon,6.0,Jan
Business,Cary,Morrisville,13.36,Meeting,2016-01-10,1900-01-01 08:05:00,2016-01-10,1900-01-01 08:25:00,2016,Morning,20.0,Jan
Business,Jamaica,New York,26.55,Customer Visit,2016-01-10,1900-01-01 12:17:00,2016-01-10,1900-01-01 12:44:00,2016,Afternoon,27.0,Jan
Business,New York,Queens,17.38,Meeting,2016-01-10,1900-01-01 15:08:00,2016-01-10,1900-01-01 15:51:00,2016,Afternoon,43.0,Jan
Business,Elmhurst,New York,12.07,Meeting,2016-01-10,1900-01-01 18:18:00,2016-01-10,1900-01-01 18:53:00,2016,Evening,35.0,Jan
Business,Midtown,East Harlem,9.98,Meeting,2016-01-10,1900-01-01 19:12:00,2016-01-10,1900-01-01 19:32:00,2016,Evening,20.0,Jan
Business,East Harlem,NoMad,10.3,Temporary Site,2016-01-11,1900-01-01 08:55:00,2016-01-11,1900-01-01 09:21:00,2016,Morning,26.0,Jan
Business,Flatiron District,Midtown,2.57,Errand/Supplies,2016-01-11,1900-01-01 11:56:00,2016-01-11,1900-01-01 12:03:00,2016,Morning,7.0,Jan
Business,Midtown,Midtown East,2.74,Meal/Entertain,2016-01-11,1900-01-01 13:32:00,2016-01-11,1900-01-01 13:46:00,2016,Afternoon,14.0,Jan
Business,Midtown East,Midtown,3.06,Meal/Entertain,2016-01-11,1900-01-01 14:30:00,2016-01-11,1900-01-01 14:43:00,2016,Afternoon,13.0,Jan
Business,Midtown,Hudson Square,3.06,Meal/Entertain,2016-01-12,1900-01-01 12:33:00,2016-01-12,1900-01-01 12:49:00,2016,Afternoon,16.0,Jan
Business,Hudson Square,Lower Manhattan,6.44,Meal/Entertain,2016-01-12,1900-01-01 12:53:00,2016-01-12,1900-01-01 13:09:00,2016,Afternoon,16.0,Jan
Business,Lower Manhattan,Hudson Square,2.9,Errand/Supplies,2016-01-12,1900-01-01 14:42:00,2016-01-12,1900-01-01 14:56:00,2016,Afternoon,14.0,Jan
Business,Hudson Square,Hell's Kitchen,3.86,Customer Visit,2016-01-12,1900-01-01 15:13:00,2016-01-12,1900-01-01 15:28:00,2016,Afternoon,15.0,Jan
Business,Hell's Kitchen,Midtown,3.22,Errand/Supplies,2016-01-12,1900-01-01 15:42:00,2016-01-12,1900-01-01 15:54:00,2016,Afternoon,12.0,Jan
Business,New York,Queens County,24.3,Meeting,2016-01-12,1900-01-01 16:02:00,2016-01-12,1900-01-01 17:00:00,2016,Afternoon,58.0,Jan
Business,Downtown,Gulfton,18.02,Meeting,2016-01-13,1900-01-01 13:54:00,2016-01-13,1900-01-01 14:07:00,2016,Afternoon,13.0,Jan
Business,Gulfton,Downtown,18.99,Meeting,2016-01-13,1900-01-01 15:00:00,2016-01-13,1900-01-01 15:28:00,2016,Afternoon,28.0,Jan
Business,Houston,Houston,35.24,Customer Visit,2016-01-14,1900-01-01 16:29:00,2016-01-14,1900-01-01 17:05:00,2016,Afternoon,36.0,Jan
Business,Eagan Park,Jamestown Court,6.28,Errand/Supplies,2016-01-14,1900-01-01 21:39:00,2016-01-14,1900-01-01 21:45:00,2016,Night,6.0,Jan
Business,Morrisville,Cary,12.87,Errand/Supplies,2016-01-15,1900-01-01 00:41:00,2016-01-15,1900-01-01 01:01:00,2016,Night,20.0,Jan
Business,Cary,Durham,16.74,Meal/Entertain,2016-01-15,1900-01-01 11:43:00,2016-01-15,1900-01-01 12:03:00,2016,Morning,20.0,Jan
